subject_id,outer_fold,pm,target_id,calibration_record_group_id,calibration_budget_seconds,budget_fully_available,calibration_exact_lag_slots,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_extreme_sample_hash,evaluation_low,evaluation_high,evaluation_extreme,evaluation_extreme_sample_hash,evaluation_ready,eligible,eligibility_reason,calibration_evaluation_overlap,record_stitching_used,middle_used_for_training
81f1f0fe,1,relaxation,target_relaxation,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,18,71,91,89,bc4bc575d44fbcee78b3738a9e1da479d02193a84a294d02e9fdfade449666c0,225,112,337,87fb69e74da4238e461142da81173bc409039df6735d1fa586453195da200c08,True,True,full1800_min10_each_eval_ready,0,False,False
a1721173,1,relaxation,target_relaxation,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,6,10,11,16,dbb283c39bdcce2f3186c7d1cd1b5302621f7041d7380273428e2af4c53ea6a1,78,30,108,92109cee2b0ce078a14ab8e6c5a7b5293daf4ad9cbb2c8ace11c8c81aaa65ebb,True,False,operational_fallback,0,False,False
c060c06a,1,relaxation,target_relaxation,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,14,119,47,133,76d03792015b6707683b3f856ff3d10be75870a369d2bc0f70fd3f08a6d6ec71,17,147,164,a30353a27d4a7bcb0f05da7a47bccbe086def9e2d4d6d34d8ef4580f2f514a0d,True,True,full1800_min10_each_eval_ready,0,False,False
c112918e,1,relaxation,target_relaxation,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,37,62,81,99,d27ac004d7188a715146da234443cbc11dd9564042d6df3b065e6d96bca0019b,221,287,508,097acc5003ebe9b1499a2c0faaca1b60ce74f7c0687377fc39504a7ae7e0c25f,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,relaxation,target_relaxation,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,117,8,55,125,9cac30b9fd776513c6029f8da7b85f873946269d92bd7e6128d8ccd2f99b56c2,326,507,833,88901ff1216e62db59eead9d78dfed6c1ac10e84fab2b23acdf266e8e5613b86,True,False,operational_fallback,0,False,False
f1d06060,1,relaxation,target_relaxation,f1d06060__day1____2023.12.11T17.50.49p03.00,1800,True,178,114,24,40,138,84a05e69e2e94a195cc9480d5b9476a3c953365babcd64c11e58906341895aa2,135,159,294,466bed25fbe85581d0810093f592f4b8c6298b32e5dac5942e7dea59cbad4fbb,True,True,full1800_min10_each_eval_ready,0,False,False
30c140ca,1,stress,target_stress,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,68,72,40,140,4279867ecd418e2c2037abf025399052338470aaa43bea74c71a96a2c189d61b,67,98,165,24cace45a46912281bada25aca77a93b6cf4df8608859a3c08091187480571e9,True,True,full1800_min10_each_eval_ready,0,False,False
3110e0c7,1,stress,target_stress,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,3,13,131,16,c57f98297928c161b2f3ff3bb3685d71333cb006eedca245a08096d1d6fc2e50,135,68,203,fa4d5f2212deb6f3bedb138b35a880623b33023fc7c1553f1ea6e724068c1d34,True,False,operational_fallback,0,False,False
40f0714a,1,stress,target_stress,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,101,42,11,143,ec2bf403c2dd413a60fc92ff2218a48102fa808994686b4a83ba12f9ec47676a,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,stress,target_stress,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,133,23,24,156,4d6b03b4fdd454f17f8105c7734d9dbf275ca36a59cb5b6a5f3aa168485cf592,219,187,406,d254197e7cb69f33b5d758827d99cd1239fc1524463bfcb4ba4233b39d05cc2e,True,True,full1800_min10_each_eval_ready,0,False,False
71f0603f,1,stress,target_stress,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,103,54,23,157,b27a41a6cedac4ba6645bde32dd25430800c4351aa799c16b264dd80dd516d9d,161,327,488,d787e18f302ccca0ab46a4a273d2012a1941ca8ae6a209be119a1ebbf97000a6,True,True,full1800_min10_each_eval_ready,0,False,False
81f1f0fe,1,stress,target_stress,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,4,174,2,178,86974cb8b1585d0bc6696f8589855782d020f0acd955a529aa5e02c854363b06,152,205,357,cc5d1fcc3a9cd6e272e9f3b3b1d77c5114299fcc0abee40683b2cfa39bb63a92,True,False,operational_fallback,0,False,False
