subject_id,outer_fold,calibration_record_group_id,calibration_record_id,calibration_record_start_utc,calibration_record_duration_seconds,calibration_record_feature_grid_duration_seconds,source_full_900s_available,feature_grid_full_900s_available,source_full_1200s_available,feature_grid_full_1200s_available,source_full_1800s_available,feature_grid_full_1800s_available
21a031f6,3,21a031f6__day1____2024.01.12T16.19.41p03.00,Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,2024-01-12T13:19:41.390319109+00:00,7173.780830860138,7160.0,True,True,True,True,True,True
30908049,4,30908049__day1____2023.12.04T11.14.04p03.00,gpn_data__30908049__day1____2023.12.04T11.14.04p03.00,2023-12-04T08:14:04.111735106+00:00,4692.510121822357,4680.0,True,True,True,True,True,True
30c140ca,1,30c140ca__day1____2023.12.18T09.42.40p03.00,Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,2023-12-18T06:42:40.933124065+00:00,3792.2875788211823,3780.0,True,True,True,True,True,True
3110e0c7,1,3110e0c7__day1____2024.01.29T09.42.53p01.00,gpn_data__3110e0c7__day1____2024.01.29T09.42.53p01.00,2024-01-29T08:42:53.316807985+00:00,6842.529772043228,2750.0,True,True,True,True,True,True
40009139,4,40009139__day1____2023.12.04T13.23.34p03.00,gpn_data__40009139__day1____2023.12.04T13.23.34p03.00,2023-12-04T10:23:34.220175028+00:00,2939.2348968982697,2930.0,True,True,True,True,True,True
40f0714a,1,40f0714a__day2____2023.12.15T11.55.06p03.00,gpn_data__40f0714a__day2____2023.12.15T11.55.06p03.00,2023-12-15T08:55:06.859504938+00:00,1556.8816800117493,1550.0,True,True,True,True,False,False
41e2010c,3,41e2010c__day1____2023.11.29T17.22.52p03.00,gpn_data__41e2010c__day1____2023.11.29T17.22.52p03.00,2023-11-29T14:22:52.842880011+00:00,3412.188353061676,3400.0,True,True,True,True,True,True
5001d09a,3,5001d09a__day1____2023.11.27T15.49.07p03.00,gpn_data__5001d09a__day1____2023.11.27T15.49.07p03.00,2023-11-27T12:49:07.828739882+00:00,1913.9625871181488,1910.0,True,True,True,True,True,True
50c02189,3,50c02189__day1____2023.11.27T11.56.06p03.00,gpn_data__50c02189__day1____2023.11.27T11.56.06p03.00,2023-11-27T08:56:06.508694887+00:00,6365.310499191284,6130.0,True,True,True,True,True,True
517001af,2,517001af__day1____2023.11.27T13.40.34p03.00,gpn_data__517001af__day1____2023.11.27T13.40.34p03.00,2023-11-27T10:40:34.392134905+00:00,6172.5125041008,3130.0,True,True,True,True,True,True
6030f0fd,2,6030f0fd__day1____2023.12.05T15.32.40p03.00,gpn_data__6030f0fd__day1____2023.12.05T15.32.40p03.00,2023-12-05T12:32:40.069154978+00:00,3497.9980199337006,3480.0,True,True,True,True,True,True
7072a0e0,2,7072a0e0__day1____2023.12.11T13.28.50p03.00,gpn_data__7072a0e0__day1____2023.12.11T13.28.50p03.00,2023-12-11T10:28:50.545511961+00:00,5453.870923995972,5440.0,True,True,True,True,True,True
7092f07b,4,7092f07b__day1____2024.01.15T09.47.46p03.00,Old_EEG__7092f07b__day1____2024.01.15T09.47.46p03.00,2024-01-15T06:47:46.310726881+00:00,4716.765586137772,4710.0,True,True,True,True,True,True
