subject_id,pm,outer_fold,full_subject_pm_timeline_hash,post_1800s_evaluation_extreme_sample_hash,post_1800s_evaluation_extreme,post_1800s_evaluation_ready_min20_both_classes
40009139,stress,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,5169a1318cb6381b46d1ff2ffab36ed231fc8b8da1576bcf23f07942e8b9d3ec,92,True
40009139,relaxation,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,c58f4e33bfb99ae34dc7c9b8acc07c03d0e750157ef6010bb82ef956a05b7a29,152,True
40009139,interest,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,f8a3d3fb25f292cc9d465a34c0630945204414b08e040bc038a57cba30a0e4d2,110,True
40009139,focus,4,1ecf834470a9d7c085b939b2599053caa9f5636c9b3f3fb1dc31b7038a0ddd39,3bd000be8a7d6e68fe9e8d63562fef606f801abe484e86258e93eaf94a4b0738,188,True
40f0714a,attention,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,engagement,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,excitement,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,stress,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,relaxation,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,interest,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
40f0714a,focus,1,ec00b9253617695de2b517e07a3ef979277de9c45bd5c70e2b7bd21b950a664b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,False
41e2010c,attention,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,4deebd60b75c3b485a5bc1a40b84999fa349398e292002670af4aedafadc8c3f,114,True
41e2010c,engagement,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,fc4021f24bfe218fdd6bb47ae128b95a8bb11cb1ae773d821a1e6ba0c8ed79d6,109,True
41e2010c,excitement,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,8fa2fbda0fa25e72d849aa99a0123962a1ec669cdb74185904bc440134749548,92,True
41e2010c,stress,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,ec6c9d5a2b1c730db4dae03fdc9ca4b0177f79d47aae83e0d4f8e7eaa8598c28,148,True
41e2010c,relaxation,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,fa90f03bec54ece536d8b20eeb1e6864b2aa4cb69231f93bc86789bf5199509c,99,True
41e2010c,interest,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,f9ea67b641ddf272496982a0ec76f7fb7cdf3d4e79a67b662efda1842c46de9c,141,True
41e2010c,focus,3,898cefb2a5e173728647460385663a618225390e63daab97b60b82e45022cb0d,5f871daa7304d5d145fa7ff4c6bae42cf98d79e3a49accc82e3120b4c68f852b,97,True
5001d09a,attention,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,0ae080eaf45181a34a43b226b9912fbaebdb1313552016c84e9057b0ada52513,65,True
5001d09a,engagement,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,af1d362456d8568d0b1b96468f8e47442d1c6ffc805969746fcb80281aac24f9,95,True
5001d09a,excitement,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,e762bbc4d6b27a67d0ab76ffbd4d1a49a2816614c63f2238d78301f9e92ada56,92,True
5001d09a,stress,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,98f4bf5c6248bd80dcb8c3e6fb61910f3017492d2d44a2e9351db972efb42a12,129,True
5001d09a,relaxation,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,82cd9462be2ef84973b089ac0f488a4aca61784d0f77d98f91092aceab0a7944,56,True
5001d09a,interest,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,69d3e55c29ba17144804ece5596ebaa62fe96926b733734de4782958a98ca40c,104,True
5001d09a,focus,3,d4ef0af19432b76a595a3a49fff9b5ab7c15c6f3adf578b46d92ebb8d316c79c,0f2e0ed15fac8ff24a2e869e8a2de839aeaf24ce15c22b8e3c1f05d46d70fc59,100,True
50c02189,attention,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,c759cfda2c34de898dfda542bae22ca4a17b3a644113020fcbc9e7c4cab2833d,505,True
50c02189,engagement,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,050f6846c865ff928105a7e1a31d5b8caf66f6ed1264afc8da5a4f28ff55a3cd,600,True
50c02189,excitement,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,6f477020eb8a7927b048fc213b850fefb60ff9dc04996f246f2d1bb99b272459,393,True
50c02189,stress,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,f60083067fd7d7752ef001ba0e7b1969a242bcfe78dac317e2510aa3b90a6522,669,True
50c02189,relaxation,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,54cc6dac5b10a2c5f5842398434575c5f91ece0f539cc04d290eab65f42e4465,592,True
50c02189,interest,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,00e7285421ba14396c81805e90752d97cacfef98c4cbcf7eec41bcec4e0e0113,639,True
50c02189,focus,3,b21612851688eb2feaa10d942de10ff4cc9d29cfc38a1e7f02ae8d97161fed4e,1b428bfcbdefb923b659e6e8cf8e94ce012e255f4fb07d11bc5942e499150a15,551,True
