model,outer_fold,pm,subject_id,budget_seconds,budget_minutes,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,threshold_shift_from_0_5,median_probability_low,median_probability_high,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy,zero_shot_roc_auc,zero_shot_pr_auc
lightgbm,5,attention,71e10186,900,15.0,True,8,16,24,True,True,adapted,0.5298488295820718,0.0298488295820718,0.13997706961585688,0.9197205895482866,192,283,475,12ea88673317bb5b759a27c617413274a6c65f79d90b95a22a002fbd27d43892,0.9441990577149588,0.9450364399293286,0.0008373822143697973,0.947179183038031,0.9472749472749473,9.576423691637359e-05,0.9166666666666666,0.921875,0.00520833333333337,0.9717314487632509,0.9681978798586572,-0.0035335689045936647,0.9507694606305095,0.9498548945194776,-0.0009145661110319114,0.9494736842105264,0.9494736842105264,0.0,0.9782648704358068,0.9760645222185788
xgboost,5,engagement,71e10186,300,5.0,True,4,23,27,True,True,adapted,0.5071447533555329,0.007144753355532885,0.01982069853693247,0.9944688081741333,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9442482619456749,0.9438699099837624,-0.0003783519619124931,0.9423796565711302,0.9423452448775121,-3.441169361806384e-05,0.927797833935018,0.9314079422382672,0.0036101083032491488,0.9606986899563319,0.9563318777292577,-0.004366812227074246,0.9414160401002506,0.941427317195535,1.127709528436771e-05,0.9426877470355731,0.9426877470355731,0.0,0.9911875522204532,0.9902223038481132
xgboost,5,engagement,71e10186,600,10.0,True,4,51,55,True,True,adapted,0.5071447533555329,0.007144753355532885,0.01982069853693247,0.9944688081741333,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9442482619456749,0.9438699099837624,-0.0003783519619124931,0.9423796565711302,0.9423452448775121,-3.441169361806384e-05,0.927797833935018,0.9314079422382672,0.0036101083032491488,0.9606986899563319,0.9563318777292577,-0.004366812227074246,0.9414160401002506,0.941427317195535,1.127709528436771e-05,0.9426877470355731,0.9426877470355731,0.0,0.9911875522204532,0.9902223038481132
xgboost,5,engagement,71e10186,900,15.0,True,4,81,85,True,True,adapted,0.5073043745942414,0.007304374594241381,0.01982069853693247,0.9947880506515503,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9442482619456749,0.9438699099837624,-0.0003783519619124931,0.9423796565711302,0.9423452448775121,-3.441169361806384e-05,0.927797833935018,0.9314079422382672,0.0036101083032491488,0.9606986899563319,0.9563318777292577,-0.004366812227074246,0.9414160401002506,0.941427317195535,1.127709528436771e-05,0.9426877470355731,0.9426877470355731,0.0,0.9911875522204532,0.9902223038481132
lightgbm,5,engagement,71e10186,300,5.0,True,4,23,27,True,True,adapted,0.561375919447969,0.06137591944796905,0.18742843873895207,0.935323400156986,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9445399082496493,0.946636608705248,0.0020967004555987323,0.9442028985507247,0.9479794385132463,0.0037765399625215856,0.9458483754512635,0.9675090252707581,0.02166064981949456,0.9432314410480349,0.925764192139738,-0.017467248908296873,0.9438961038961039,0.949813447646265,0.005917343750161064,0.9446640316205533,0.9486166007905138,0.0039525691699604515,0.9892327337505715,0.9881012949248031
lightgbm,5,engagement,71e10186,600,10.0,True,4,51,55,True,True,adapted,0.5652464801578064,0.06524648015780643,0.18742843873895207,0.9430645215766609,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9445399082496493,0.9462582567433355,0.0017183484936862392,0.9442028985507247,0.947932497467072,0.0037295989163472765,0.9458483754512635,0.9711191335740073,0.02527075812274371,0.9432314410480349,0.9213973799126638,-0.02183406113537112,0.9438961038961039,0.95037627479993,0.006480170903826132,0.9446640316205533,0.9486166007905138,0.0039525691699604515,0.9892327337505715,0.9881012949248031
lightgbm,5,engagement,71e10186,900,15.0,True,4,81,85,True,True,adapted,0.5681498349683688,0.0681498349683688,0.18742843873895207,0.9488712311977855,277,229,506,27da19b1c4ea16857d37d84a3cbf271b22b945a8e5cd4083f7ebe38e4a6605aa,0.9445399082496493,0.9462582567433355,0.0017183484936862392,0.9442028985507247,0.947932497467072,0.0037295989163472765,0.9458483754512635,0.9711191335740073,0.02527075812274371,0.9432314410480349,0.9213973799126638,-0.02183406113537112,0.9438961038961039,0.95037627479993,0.006480170903826132,0.9446640316205533,0.9486166007905138,0.0039525691699604515,0.9892327337505715,0.9881012949248031
xgboost,5,excitement,71e10186,300,5.0,True,8,15,23,True,True,adapted,0.4993345588736702,-0.0006654411263298243,0.0010603368864394724,0.9976087808609009,190,276,466,6b4395b123185625ea1865f550be982550ebf28019f0e2944e8cd95d7324bf7a,0.945556826849733,0.945556826849733,0.0,0.9525253358301274,0.9525253358301274,0.0,0.8947368421052632,0.8947368421052632,0.0,0.9963768115942029,0.9963768115942029,0.0,0.9631777183070671,0.9631777183070671,0.0,0.9549356223175965,0.9549356223175965,0.0,0.9987032799389779,0.9991697215459777
xgboost,5,excitement,71e10186,600,10.0,True,17,24,41,True,True,adapted,0.499506231979467,-0.0004937680205330253,0.0011871990282088518,0.9978252649307251,190,276,466,6b4395b123185625ea1865f550be982550ebf28019f0e2944e8cd95d7324bf7a,0.945556826849733,0.945556826849733,0.0,0.9525253358301274,0.9525253358301274,0.0,0.8947368421052632,0.8947368421052632,0.0,0.9963768115942029,0.9963768115942029,0.0,0.9631777183070671,0.9631777183070671,0.0,0.9549356223175965,0.9549356223175965,0.0,0.9987032799389779,0.9991697215459777
xgboost,5,excitement,71e10186,900,15.0,True,25,25,50,True,True,adapted,0.4997291420586407,-0.00027085794135928154,0.001849503256380558,0.9976087808609009,190,276,466,6b4395b123185625ea1865f550be982550ebf28019f0e2944e8cd95d7324bf7a,0.945556826849733,0.945556826849733,0.0,0.9525253358301274,0.9525253358301274,0.0,0.8947368421052632,0.8947368421052632,0.0,0.9963768115942029,0.9963768115942029,0.0,0.9631777183070671,0.9631777183070671,0.0,0.9549356223175965,0.9549356223175965,0.0,0.9987032799389779,0.9991697215459777
