model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,900s_minus_300s,900,300,d151b0c4,0.0013928146240838046,0.007813491777900694,-0.01862694893859329,0.021412578186760678,0.0031012638954204252,0.006424688793746913
xgboost,900s_minus_300s,900,300,d18000a3,0.010781146940777142,0.013275740186126206,0.012198815009874964,0.00936347887167932,0.0030727218450392613,0.010669339449218662
xgboost,900s_minus_300s,900,300,e0c0408a,0.007188160676532829,0.013275409206453648,0.032558139534883734,-0.018181818181818188,0.0049658444022770976,0.015384615384615552
xgboost,900s_minus_300s,900,300,f0f2a1e1,0.00413782427458298,0.0018144053931137272,0.014826137573073495,-0.006550489023907313,-0.0016226713860187925,0.0021550555706153496
xgboost,900s_minus_300s,900,300,f121f1e0,0.01072686309115689,0.012861034325123422,-0.07360351763820616,0.09505724382052005,-0.0022270159533194223,0.011039865442046382
xgboost,900s_minus_300s,900,300,f1a0c120,-0.020908468573623606,-0.009538258440006664,0.04090963547150883,-0.08272657261875604,0.003574537872341854,0.0039776033209325545
xgboost,900s_minus_300s,900,300,f1d06060,0.020801822073197807,0.03900094589006531,-0.02258867832847422,0.06419232247487006,0.0034568473541521927,0.04100982771491679
lightgbm,600s_minus_300s,600,300,0001508a,0.007468782759810333,0.002455588747621751,0.009334559916615137,0.00560300560300564,-0.019994557915337663,0.009748127224137537
lightgbm,600s_minus_300s,600,300,0012905a,0.015698602975944165,0.022821786056909654,0.004320740180999483,0.02707646577088918,0.014691132729052536,0.023088129909104693
lightgbm,600s_minus_300s,600,300,0110f12e,-0.002121470606225251,0.0006807123815570915,-0.018618795837117896,0.014375854624667617,-0.0023359673643497114,0.0011031365051910047
lightgbm,600s_minus_300s,600,300,0182e16c,0.03973019821086965,0.07198439067711959,0.1201214365337101,-0.04066104011197047,0.002223664143528814,0.06910220287954472
lightgbm,600s_minus_300s,600,300,01c2a0d8,0.00455486987930831,0.023295149260067927,0.04904856541172775,-0.039938825653111354,0.0017171274117939728,0.030561225514359913
lightgbm,600s_minus_300s,600,300,1081b177,-0.015084956795974103,-0.012690527966499054,-0.03903096324577504,0.008861049653826836,-0.004224445254942033,-0.00919359875466852
lightgbm,600s_minus_300s,600,300,20201194,-0.0013375218168594216,0.0038440121052977227,-0.11607550043479709,0.11340045680107802,0.021379304498056917,0.02000402758885811
lightgbm,600s_minus_300s,600,300,2162c09e,0.009589934443285597,0.013811472554115745,0.012988777092386439,0.0061910917941851995,0.007744378905535032,0.013130894564888917
lightgbm,600s_minus_300s,600,300,2182c1cd,0.008388842685838949,0.007081764450586947,0.012112198882482939,0.004665486489194737,0.0041447570397895594,0.004729822087425117
lightgbm,600s_minus_300s,600,300,219060fa,0.011564724250276659,0.017315520903464443,-0.021124604650039736,0.044254053150593387,0.002378765167326491,0.0076270752203316805
lightgbm,600s_minus_300s,600,300,21a031f6,0.005283998953196312,0.004266870818869561,0.07757564811196294,-0.06700765020557031,0.010659187427873418,0.00853047038581256
lightgbm,600s_minus_300s,600,300,30908049,0.024296244546002654,0.043879077245967846,-0.03356400484197386,0.08215649393397906,0.0006826130116822648,0.0351615659205875
lightgbm,600s_minus_300s,600,300,30c140ca,-0.04581795291789903,-0.050761620769273263,-0.015113299542894088,-0.07652260629290397,-0.012161330157284045,-0.03435040373896625
lightgbm,600s_minus_300s,600,300,3110e0c7,0.003739960952110599,0.0019210213325966397,-0.011665377241077857,0.019145299145299277,0.003746013993322528,0.0021008403361344463
lightgbm,600s_minus_300s,600,300,40009139,-0.0018925518925518858,0.0007936526282867895,-0.023809523809523725,0.020024420024419953,0.001537368186701027,0.0026130845898286736
lightgbm,600s_minus_300s,600,300,40f0714a,0.023885606874328613,0.019503214276633818,-0.007330827067669188,0.055102040816326414,0.0005620999523440195,0.014426439850168449
lightgbm,600s_minus_300s,600,300,41e2010c,-0.0030857486340706286,0.007774093957463646,0.011527705145403688,-0.017699202413544946,-0.004785156913160393,0.007900762653413329
lightgbm,600s_minus_300s,600,300,5001d09a,-0.0037324966482944477,-0.003940749830989798,0.003826530612245027,-0.01129152390883359,-0.00014193992738331662,-0.0033866211852160433
lightgbm,600s_minus_300s,600,300,50c02189,0.00874161135047935,0.03748962478734463,-0.06357332592662157,0.08105654862758038,-0.005445544180990858,0.035438416437118314
lightgbm,600s_minus_300s,600,300,517001af,-0.022583173670130408,-0.03563735252640021,0.0483516483516484,-0.09351799569190866,-0.022115710991690407,-0.035600746482728485
lightgbm,600s_minus_300s,600,300,6030f0fd,-0.002100172801570044,-0.0042877421449238895,-0.0162964516511932,0.012096106048053001,-0.003824237489259641,-0.0047967117540439475
lightgbm,600s_minus_300s,600,300,7072a0e0,0.007316082937000035,0.013801046863655575,0.11114327109856215,-0.09651110522456252,-0.0038917499618140727,0.010076195405686938
lightgbm,600s_minus_300s,600,300,7092f07b,0.01499834545455958,0.023173722279974274,0.03408976784116946,-0.004093076932050188,0.014847487597604792,0.021891448790893553
lightgbm,600s_minus_300s,600,300,7150e10a,0.003852545422330156,0.0032139822184168443,-0.02052500507136601,0.02823009591602621,-0.004987562234352594,0.0020176314769055903
lightgbm,600s_minus_300s,600,300,71a251fa,0.013262444769481796,0.015848486791629535,-0.013026819923371513,0.03955170946233488,0.01286420658195897,0.016559004554202783
lightgbm,600s_minus_300s,600,300,71c09041,0.07396878938053908,0.0815932439876691,0.0013734580632938087,0.14656412069778402,0.021722737247726,0.04237692956767147
