model,budget_seconds,strategy,pm,participant_rows,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,300,median_midpoint,stress,52,38,37,0.018674833606856848,0.023480308791805703,0.04045444560229031,-0.0031047783885766334,0.0012800581533714273,0.020971700486790923
xgboost,60,empirical_balanced_accuracy,attention,52,1,1,0.0020821438458078147,0.00019512427679376903,-0.0035814388041108683,0.007745726495726497,-0.002036432409136569,-0.0010248372317337845
xgboost,60,empirical_balanced_accuracy,engagement,53,1,1,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,60,empirical_balanced_accuracy,excitement,53,4,4,-0.0021004076644217744,-0.0013297943929904343,0.01489599127094742,-0.019096806599790964,0.0017356957843358807,4.287999210641156e-05
xgboost,60,empirical_balanced_accuracy,focus,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,60,empirical_balanced_accuracy,interest,52,9,9,-9.449601976323753e-05,-0.0007794693289915311,0.005870518544870986,-0.006059510584397463,-0.00012479731294250866,-0.0011476295955992221
xgboost,60,empirical_balanced_accuracy,relaxation,53,1,1,0.0022741001314714165,0.0019863199904204035,0.005596418292292933,-0.0010482180293501031,0.0006795991509117603,0.0015828795745219712
xgboost,60,empirical_balanced_accuracy,stress,52,13,13,-0.002004429467304394,-0.0032900721411206544,-0.0016420012472541017,-0.0023668576873546944,-0.0048171196829382016,-0.0054606994739502404
xgboost,60,median_midpoint,attention,52,1,1,0.0019869848437662208,0.0009989735336475292,-0.0016350046714419188,0.005608974358974359,-0.001113766512522169,0.0
xgboost,60,median_midpoint,engagement,53,1,1,2.7620115427135044e-05,6.839757017399283e-05,0.00014683209749651223,-9.159186664224213e-05,8.101530537104796e-05,7.861635220125967e-05
xgboost,60,median_midpoint,excitement,53,4,4,0.003717580700116816,0.004811018065425752,0.012041610766702788,-0.00460644936646916,0.0015506272857234496,0.004151996434853812
xgboost,60,median_midpoint,focus,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,60,median_midpoint,interest,52,9,8,0.0017570169185919249,0.002908208178948803,0.006928837355888221,-0.003414803518704366,-9.269878975543416e-05,0.0015304394176980363
xgboost,60,median_midpoint,relaxation,53,1,1,0.0005871797605088326,0.0005833068077462026,0.001279181323952671,-0.00010482180293501011,0.00019305236560593616,0.0004432062808661521
xgboost,60,median_midpoint,stress,52,13,13,-0.0017222170111606603,-0.0025034147781035267,0.008283657435215705,-0.011728091457537025,-0.0016545107429454381,-0.002949765020418865
xgboost,120,empirical_balanced_accuracy,attention,52,7,7,0.00210055833009853,0.0011272161514319047,0.0050358830009743505,-0.0008347663407772917,-0.0015341600107863145,0.0007206100280878405
xgboost,120,empirical_balanced_accuracy,engagement,53,6,6,0.0019463572944628349,-0.0013551895442364588,0.0009559012606568799,0.0029368133282687897,-0.0028435703777107734,-0.00663278148340408
