model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_pm,n_class_eligible_pm,n_adaptation_applied_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,21a031f6,7,1,1,0.77518335498805,0.768493564447328,-0.00668979054072221,0.741056787098768,0.732361978966976,-0.008694808131792084,0.7376057063684855,0.7571265581874739,0.01952085181898847,0.8127610036076149,0.7798605707071821,-0.03290043290043291,0.7674789549552585,0.7688957747408544,0.0014168197855959194,0.7543883841601616,0.7473769906457006,-0.007011393514460991
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,30908049,7,2,2,0.7207395333279684,0.7277662900171407,0.007026756689172298,0.6615801582209536,0.6382752527483587,-0.023304905472594815,0.7801501149019536,0.8646355219680059,0.08448540706605223,0.661328951753983,0.5908970580662753,-0.07043189368770765,0.7377553409414574,0.7092161264455629,-0.0285392144958946,0.72572803402403,0.6828435762256143,-0.04288445779841573
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,30c140ca,7,5,5,0.7026132357926725,0.7006989825807661,-0.0019142532119062314,0.6773639307816489,0.6962426360744977,0.018878705292848835,0.6644581915759382,0.7147310038199336,0.05027281224399548,0.7407682800094065,0.6866669613415984,-0.05410131866780795,0.7247099983570414,0.7239050258656755,-0.0008049724913659549,0.6891923354441216,0.722951796779453,0.03375946133533141
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,3110e0c7,7,0,0,0.6068220627241496,0.6068220627241496,0.0,0.5560438212691474,0.5560438212691474,0.0,0.6090372517141444,0.6090372517141444,0.0,0.604606873734155,0.604606873734155,0.0,0.6010756828889087,0.6010756828889087,0.0,0.5848489610842583,0.5848489610842583,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,40009139,7,4,4,0.8143662795827525,0.7795058255053121,-0.03486045407744044,0.8059640091108337,0.7712339699039453,-0.03473003920688852,0.8180646512616142,0.9541060913794218,0.13604144011780753,0.8106679079038909,0.6049055596312023,-0.20576234827268844,0.835564640088774,0.8287527910004596,-0.0068118490883142735,0.8155908580696583,0.7914801599310806,-0.024110698138577802
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,40f0714a,7,3,3,0.789372097016364,0.8102375372095354,0.0208654401931713,0.7043256533247825,0.7273288891074822,0.023003235782699787,0.885368662001734,0.8778798545129265,-0.007488807488807473,0.6933755320309941,0.7425952199061443,0.04921968787515006,0.7794887529297083,0.7785193922827452,-0.0009693606469630213,0.7824930639602449,0.794107970792543,0.01161490683229814
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,41e2010c,7,4,4,0.7355999869893726,0.7600363586220445,0.024436371632671903,0.6977600912027218,0.710835386352138,0.013075295149416197,0.7742805505703345,0.827217665640522,0.05293711507018749,0.6969194234084106,0.6928550516035669,-0.004064371804843671,0.796322509092892,0.7758463396076302,-0.020476169485261826,0.7392184568458339,0.7302960119565555,-0.00892244488927845
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,5001d09a,7,6,6,0.8075775645324388,0.8060614648485211,-0.0015160996839176535,0.782907437385235,0.7880958741237644,0.005188436738529486,0.9046748530383831,0.7746681365909887,-0.13000671644739442,0.7104802760264944,0.8374547931060538,0.12697451707955912,0.8098173279756645,0.8041760261877915,-0.005641301787872873,0.8110670533058536,0.8186831279195552,0.0076160746137015544
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,50c02189,7,5,5,0.6350381343224049,0.6936258675930365,0.05858773327063148,0.548417528670537,0.6414687802888946,0.09305125161835757,0.5553870438824924,0.7682757497297521,0.21288870584725977,0.7146892247623174,0.6189759854563206,-0.09571323930599687,0.7097967540496609,0.7139758243089999,0.0041790702593388985,0.6277631918498869,0.6643437883690612,0.03658059651917421
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,517001af,7,4,4,0.8152898684972794,0.791376894748414,-0.02391297374886533,0.8081049525198115,0.7739617407691609,-0.034143211750650396,0.7237491286885717,0.8542813415737258,0.13053221288515407,0.9068306083059872,0.7284724479231023,-0.17835816038288474,0.8407372001495371,0.8250186860462069,-0.01571851410333022,0.8642257552092738,0.846234150680344,-0.017991604528929783
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,6030f0fd,7,4,4,0.7624973997783145,0.7529784112945669,-0.009518988483747612,0.7369842962611001,0.726950538371703,-0.010033757889397168,0.8313673094292948,0.7541161046957768,-0.07725120473351806,0.6936274901273342,0.7518407178933569,0.05821322776602279,0.7777185305607076,0.7897116160881936,0.011993085527485983,0.7559394149197824,0.7433810193163867,-0.012558395603395762
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7072a0e0,7,5,5,0.7464172507903697,0.706552212212782,-0.03986503857758766,0.6739133692211026,0.5929624606414008,-0.08095090857970182,0.7945575500871117,0.8353444763524411,0.04078692626532939,0.6982769514936278,0.5777599480731229,-0.12051700342050475,0.7305134310644424,0.7126084536374646,-0.017904977426977813,0.7039056622899577,0.6133650553448152,-0.09054060694514224
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7092f07b,7,4,4,0.6808724907638695,0.6466650606788364,-0.034207430085033165,0.6434535582509422,0.5926056105435038,-0.05084794770743828,0.8494896058766994,0.8195966467154475,-0.029892959161251842,0.5122553756510397,0.4737334746422252,-0.03852190100881449,0.763277467251374,0.7698039299507677,0.006526462699393831,0.7001937541991742,0.6855665438480728,-0.014627210351101292
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,7150e10a,7,1,1,0.7006039799313852,0.7006039799313852,0.0,0.6548689139419533,0.6548689139419533,0.0,0.8747591384446638,0.8747591384446638,0.0,0.5264488214181068,0.5264488214181068,0.0,0.775947440562561,0.775947440562561,0.0,0.704890229144396,0.704890229144396,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71a251fa,7,3,3,0.8408471191752505,0.7750663874572687,-0.06578073171798171,0.8277262053625396,0.7648727020491425,-0.06285350331339735,0.7912179229779864,0.8143122797053416,0.02309435672735514,0.8904763153725146,0.7358204952091961,-0.15465582016331852,0.8469446832846407,0.8300550250169588,-0.016889658267681833,0.8605925558344326,0.8136477490642984,-0.04694480677013429
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71c09041,6,4,4,0.8131458086347593,0.6821400080517348,-0.13100580058302466,0.7918147652300528,0.6543857880806452,-0.13742897714940763,0.8727256772156308,0.8652253542450703,-0.007500322970560636,0.753565940053888,0.49905466185839914,-0.2545112781954887,0.8208419145525766,0.7879288570298932,-0.032913057522683385,0.8628102748534134,0.7972762687010865,-0.06553400615232684
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71e10186,7,6,6,0.9392862932022863,0.9392862932022863,0.0,0.940466553325991,0.940466553325991,0.0,0.9297378314067727,0.9297378314067727,0.0,0.9488347549977999,0.9488347549977999,0.0,0.9465454020699815,0.9465454020699815,0.0,0.942804032709037,0.942804032709037,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71f0603f,7,6,6,0.7909185077487642,0.7753812437629605,-0.0155372639858037,0.7927471778430573,0.7634092080885553,-0.02933796975450225,0.7186208458363917,0.706950999384064,-0.011669846452327826,0.8632161696611363,0.8438114881418567,-0.019404681519279526,0.8103117392916271,0.8061186406960771,-0.004193098595549917,0.8014862121818948,0.7783599118324143,-0.02312630034948041
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,71f21142,7,2,2,0.7673458308942708,0.7621101229618699,-0.005235707932400754,0.7164803086194714,0.706374343156363,-0.010105965463108333,0.8758661540394478,0.8576494713932349,-0.01821668264621285,0.6588255077490937,0.666570774530505,0.007745266781411361,0.7766770333135229,0.7831803098465159,0.006503276532992906,0.7887086712728386,0.7841735238805484,-0.0045351473922902496
