model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_adapted_pm,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,81e150c1,4,-0.031948919277562715,-0.05788616054205831,0.08970557501644105,-0.15360341357156643,-0.01248647850940865,-0.06039817325531613
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,81f1f0fe,3,0.011999146669573801,-0.003460972669619866,0.06366854740568646,-0.03967025406653887,-0.017186148894867914,-0.010750455373406168
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,a02151ac,5,0.007659046942074599,0.037799735255872824,0.21574619366125578,-0.20042809977710668,-0.022021071104909272,0.015066692283441107
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,a1b210fc,4,-0.051906178075253745,-0.08109759796056702,-0.18279383763198892,0.07898148148148149,-0.041390795818997905,-0.054854433760683774
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,b0700166,4,0.06314635153115153,0.13695494118126617,-0.02927148738352292,0.15556419044582603,0.015503622328754962,0.1245409149265464
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,b112005d,3,-0.016458320663301478,-0.018463713634696493,0.05068418171866448,-0.08360082304526749,0.0145316038619742,0.0056090314913844015
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,b1c2f044,5,-0.05524479394015027,-0.01027037536576585,0.04005860107410246,-0.15054818895440297,0.043144157461471135,0.016512392676487207
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,c060c06a,2,-0.028604163981522435,-0.033569022990116326,0.4000693000693,-0.457277628032345,-0.020382188647593336,-0.030127142067440604
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,c112918e,6,-0.02913054200182778,-0.025546122026970448,0.3016010803977769,-0.3598621644014324,0.04046841358208664,0.02064129104646727
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,c1a150b1,1,-0.11466966611413687,-0.13710647096061424,0.014563106796116498,-0.24390243902439024,0.0038750927957044157,-0.05902777777777779
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d0724095,4,0.013818747784462432,0.03195437753106917,0.10446642386155347,-0.07682892829262852,0.016436657780317637,0.03939441656995002
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d0e2d025,4,-0.01372722313859917,0.0073292627409443645,-0.059829226270641495,0.03237477999344321,0.01965943866018957,0.00993422302500016
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d111e017,6,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d142d110,5,-0.0031969442824818727,-0.007917400927685714,-0.03300142736762455,0.026607538802660757,-0.004493329482062669,-0.03202938475665749
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d151b0c4,4,0.016472657882449365,0.02482187596463739,0.08167198577023488,-0.048726670005336134,0.003468329590527175,0.022093924336498455
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,d18000a3,2,-0.10948234015714142,-0.13252903909104474,-0.31993537325244,0.10097069293815714,-0.009772905678191557,-0.08045030637934036
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,e0c0408a,4,0.07192956856566876,0.05692683598311295,0.03559210526315791,0.10826703186817965,-0.026134007032367734,0.02097408878213544
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,f0f2a1e1,2,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,f121f1e0,5,0.052783833662906086,0.0576478813053805,0.01626840619312695,0.08929926113268524,0.008067584827269903,0.03737182089872981
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,f1a0c120,7,0.0001714198027813791,-0.0038905433197999406,0.047029299203212256,-0.046686459597649464,0.006061640938923711,-0.021590950242928595
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,f1d06060,4,0.10613411191028957,0.1420048196987105,0.4102862439364305,-0.19801802011585137,0.02469534644023269,0.12110124166707603
lightgbm,300,primary,median_midpoint,primary,0001508a,3,-0.02749554046950764,0.04478634472423052,0.18132367956929363,-0.2363147605083089,-0.016939036189401402,0.11369863013698629
lightgbm,300,primary,median_midpoint,primary,0012905a,5,-0.02777782992419504,-0.03314639363200187,-0.00731141445080834,-0.04824424539758171,-0.004747276493301822,-0.024162978357185595
