model,outer_fold,pm,subject_id,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
random_forest,4,excitement,40009139,-0.021126760563380254,-0.022072544662072868,-0.005807231448391792,-0.0052163898027448585,-0.04225352112676051,0.0,-0.01629975277814122,-0.021739130434782594
random_forest,4,excitement,7092f07b,0.005376344086021501,0.005688501955766867,-0.016675291817606963,-0.014314564645602212,0.0,0.010752688172043001,0.0026653620073470163,0.0035714285714285587
random_forest,4,excitement,8030618f,0.005154639175257714,0.005194649425418696,0.04555467442065397,0.026244181373861752,0.0,0.010309278350515427,0.0030272935202513285,0.004672897196261738
random_forest,4,excitement,a1b210fc,0.0020342312008979624,0.011905143369831839,0.007119809203142369,0.006501990737802221,0.01543209876543239,-0.011363636363636354,0.027422568136728276,0.009708737864077777
random_forest,4,excitement,b112005d,-0.0012690355329949554,-0.0017890647411558103,0.0009877544612487688,-0.0028966532276065715,-0.002538071065990022,0.0,-0.0025347163356197466,-0.001700680272108901
random_forest,4,excitement,b1c2f044,-0.004526131532883171,-0.0007694742092951845,0.0020505126281570307,0.005339832919702969,0.006451612903225823,-0.015503875968992276,0.0043802660328873255,0.0
random_forest,4,excitement,d151b0c4,0.01754385964912286,0.013710036453718821,0.0030174119509299713,-0.004839819934186029,0.08771929824561409,-0.052631578947368474,0.0073199360395485025,0.012145748987854255
random_forest,4,excitement,f1a0c120,0.008213041314086622,0.010602622085063462,0.009899894917316576,0.006881812225656203,0.0408163265306124,-0.024390243902439157,0.013235181323203893,0.011111111111111183
random_forest,4,stress,01c2a0d8,0.007909090909090977,0.013584236674393013,0.01681818181818162,0.05071248872216538,0.03181818181818186,-0.016000000000000014,0.008583591277253166,0.01449275362318836
random_forest,4,stress,30908049,-0.0040000000000000036,-0.0053154465977274246,-0.005185185185185293,-0.0023850003053180746,0.0,-0.008000000000000007,-0.003739401695728617,-0.005586592178770888
random_forest,4,stress,40009139,0.09970238095238093,0.11457130994528786,0.03884991496598622,0.04208616477453775,0.1875,0.011904761904761973,0.07335068032742442,0.11224489795918369
random_forest,4,stress,7092f07b,-0.017838496345283783,-0.018397158294027993,0.0009716904513284996,-0.0232976985907265,0.02941176470588236,-0.0650887573964497,-0.0017202583155825346,-0.013404825737265424
random_forest,4,stress,8030618f,-0.00591715976331364,-0.007648527890431189,-0.06665506439262081,-0.007438518709673603,0.0,-0.011834319526627168,-0.001495583513932086,-0.010752688172043001
random_forest,4,stress,a1b210fc,0.03260869565217395,-0.007755880207645727,-0.018870772946859793,-0.0028582196279263172,0.16666666666666663,-0.10144927536231885,-0.003067765567765668,-0.032258064516129004
random_forest,4,stress,b112005d,0.040870221327967915,0.03362800034601798,0.00990316901408439,0.0044904218653251116,0.0535714285714286,0.028169014084507005,0.025165088968183036,0.032352941176470584
random_forest,4,stress,b1c2f044,0.007362680171406288,0.011780606929739923,-0.005531749123490415,-0.00019157788060653047,0.026490066225165587,-0.011764705882352788,0.009578760111520257,0.012711864406779627
random_forest,4,stress,d151b0c4,0.032163742690058506,0.030484980988900512,0.011672037235947008,0.007845541489404861,0.06432748538011701,0.0,0.020309886864670834,0.02644230769230771
random_forest,4,stress,f1a0c120,-0.010256410256410331,-0.0076769847348774345,-0.0024540915630024696,-0.016515326391679852,0.0,-0.020512820512820662,-0.014540728052873764,-0.008032128514056214
random_forest,4,relaxation,01c2a0d8,0.043808488203506135,0.034358899721302905,0.006870304468169164,0.005016166514095977,-0.014234875444839812,0.10185185185185186,-9.401962401867081e-05,0.01799485861182515
random_forest,4,relaxation,30908049,0.004352192835620938,0.02023145842805285,0.0142701707398728,0.01696882120137555,0.07766990291262155,-0.06896551724137934,0.05532523032523029,0.024844720496894457
random_forest,4,relaxation,40009139,-0.08822393822393826,-0.09495435091773097,-0.025096525096524935,-0.0161450787941404,-0.16216216216216223,-0.014285714285714346,-0.06518400920974443,-0.07968127490039845
random_forest,4,relaxation,7092f07b,0.04830034423407903,0.06851821368651922,0.022294535283992944,0.010291203329178433,-0.017857142857142794,0.11445783132530118,0.012707204244994164,0.0611510791366906
random_forest,4,relaxation,8030618f,-0.03243741263184652,-0.03963062023868413,0.014614309315033602,0.013347154680330542,0.09016393442622939,-0.15503875968992242,-0.0038016461464674967,-0.03585657370517936
random_forest,4,relaxation,a1b210fc,0.02107238374600995,0.019227103890063546,0.012790095763954734,0.02850951246777178,0.007462686567164201,0.034682080924855474,0.018056615715112523,0.018140589569161092
random_forest,4,relaxation,b112005d,0.0383202299594525,0.026986899993146407,0.014010774590241803,0.009270803765741298,-0.014962593516209433,0.09160305343511455,-0.010824535628391807,0.011278195488721776
random_forest,4,relaxation,b1c2f044,-0.009255848222508578,0.0007837118614979488,0.0015503162031067497,9.789700315721017e-05,-0.040983606557377206,0.022471910112359383,0.010270274513788036,0.0025706940874036244
random_forest,4,relaxation,d151b0c4,0.019950205672223387,-0.004207679645244711,-0.0025979649274734395,-0.011075379066678659,-0.0741935483870968,0.11409395973154368,-0.011766576482502344,-0.013071895424836555
random_forest,4,relaxation,f1a0c120,-0.04397831050228318,-0.04481665220887732,-0.017332572298325855,-0.028683843621405858,-0.1004566210045662,0.012499999999999956,-0.026694642503466093,-0.04139433551198257
random_forest,4,interest,01c2a0d8,0.027964421435259124,0.02259522121629809,6.884397202200354e-05,-0.01192881521341882,0.0036900369003689537,0.05223880597014918,0.022074855314961894,0.019753086419753152
random_forest,4,interest,30908049,0.0,0.0,0.0004436557231588534,-0.00023989415013880855,0.0,0.0,0.0,0.0
random_forest,4,interest,40009139,0.02287689269256088,0.02312101948304024,-0.0014812376563531071,-0.014701689627038883,-0.05102040816326525,0.09677419354838712,0.010317810957297113,0.020942408376963373
random_forest,4,interest,7092f07b,0.07096141268803136,0.03506768842541552,0.019712230215827353,0.009788734588451642,0.3237410071942446,-0.18181818181818177,0.015707247292643722,-0.012077294685990392
random_forest,4,interest,8030618f,-0.09106498988655343,-0.10554153900986307,0.0007035441034208834,-0.01907833140466031,-0.03614457831325302,-0.1459854014598541,-0.07263389161489175,-0.10454545454545461
random_forest,4,interest,a1b210fc,-0.009031198686371034,-0.015743853011519038,-0.021962233169129708,-0.01931148898961843,0.1428571428571429,-0.16091954022988508,-0.021137582449369474,-0.020618556701030966
random_forest,4,interest,b112005d,0.17198879551820723,0.1793353420591426,0.18882847256549673,0.21436074760466572,0.17927170868347342,0.16470588235294115,0.17312927332285455,0.174573055028463
random_forest,4,interest,b1c2f044,-0.04467719651992075,-0.05877558966496932,-0.04206340315895596,-0.12317876240413439,-0.07669616519174038,-0.012658227848101222,-0.033686830679311885,-0.06459330143540665
random_forest,4,interest,d151b0c4,-0.0278010119431229,-0.02764403437546381,-0.02194600227618637,-0.04628344418868324,-0.025559105431309903,-0.030042918454935674,-0.028855536967087092,-0.027472527472527486
