temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,2,excitement,517001af,0.05109489051094884,0.049646583321887316,0.03324485733244875,0.02340583430993637,0.1021897810218978,0.0,0.022824951808471994,0.03921568627450989
torch_lstm,lightgbm,2,excitement,6030f0fd,-0.00490574357843665,-0.013418824947516339,0.0021497078602137343,0.007064762435762817,-0.031088082901554515,0.021276595744680993,-0.016385655869615268,-0.013937282229965153
torch_lstm,lightgbm,2,excitement,7072a0e0,-0.011464407191448034,0.004339496413735655,-0.015397230320699729,-0.005201357997406952,-0.05208333333333337,0.029154518950437303,-0.0024528062446168564,0.011389521640091105
torch_lstm,lightgbm,2,excitement,71a251fa,-0.010606060606060508,0.011336169028553611,-0.003443526170799016,-0.006804298626752803,0.024242424242423954,-0.045454545454545414,0.028005143603185734,0.009569377990430561
torch_lstm,lightgbm,2,excitement,71c09041,0.05018274853801152,0.07703252959668794,0.023391812865496964,0.1336519048529603,0.05592105263157909,0.0444444444444444,0.07070368981952546,0.054441260744985565
torch_lstm,lightgbm,2,excitement,a02151ac,0.012354781054513042,0.013978197549919358,-0.003708668453976771,0.0053173095119791736,0.008042895442359366,0.016666666666666607,0.016054916008299558,0.010141987829614618
torch_lstm,lightgbm,2,excitement,d0e2d025,-0.02759381898454738,-0.03762115762545015,-0.017327588499694402,-0.0037396094675569147,0.0,-0.05518763796909487,-0.022643695016460352,-0.04038772213247166
torch_lstm,lightgbm,2,excitement,d18000a3,-0.03265973400201594,-0.03923317623386546,0.0009096049364504255,-0.00021959148680139595,-0.006711409395973145,-0.05860805860805862,-0.02787279341217741,-0.040284360189573376
torch_lstm,lightgbm,2,excitement,f0f2a1e1,-0.014331690636628647,-0.019535341193752442,-0.021774112440912985,-0.0045088236583011865,-0.016393442622950838,-0.012269938650306567,-0.0232465803295272,-0.012919896640826822
torch_lstm,lightgbm,2,stress,1081b177,-0.13015301530153023,-0.14132214779550079,-0.10220522052205228,-0.09692724490695559,-0.24545454545454548,-0.014851485148514754,-0.10013466807816207,-0.13507109004739337
