temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_transformer,xgboost,1,focus,0.049082413985887974,0.05014682882846633,0.061328512653135436,0.046334324723708464,-0.02720765716256246,0.1253724851343383,0.05401439684021725,0.061236833667308144
torch_transformer,xgboost,2,attention,-0.027443377130714208,-0.004380688024478108,-0.07520432342244099,-0.0930739754904738,0.07011873044421979,-0.1250054847056481,-0.03390647752048992,0.00026596546186352654
torch_transformer,xgboost,2,engagement,-0.0637719602246204,-0.07281447782326,-0.06817370532701472,-0.03740568052310789,-0.06829911713180037,-0.0592448033174402,-0.057096002898365916,-0.06535956071044446
torch_transformer,xgboost,2,excitement,-0.004281435100026765,-0.004351931139955578,-0.008855342208349937,0.007929149660909962,0.013989406509941182,-0.022552276709994823,-0.0005999989901881442,-0.0043164288453253485
torch_transformer,xgboost,2,stress,-0.02072244102883869,-0.08348752439385165,-0.07130408729056781,-0.05956363247823093,-0.15570829666937536,0.04393068018285595,-0.07678288500657382,-0.04681062827279803
torch_transformer,xgboost,2,relaxation,-0.05034470237697142,-0.055108747832031124,-0.04913955042325291,-0.031407838675665545,-0.06994528654078025,-0.030744118213162697,-0.0397988040372208,-0.055405937372730696
torch_transformer,xgboost,2,interest,-0.05084281693586401,-0.05344396405132179,-0.053054475416869806,-0.03769623921697729,-0.0038502469711054754,-0.09783538690062232,-0.04269094015381858,-0.04129242383819132
torch_transformer,xgboost,2,focus,0.0028682564514898035,-0.025677696523165983,0.04609899205264523,0.010574920669794041,0.1775303540782487,-0.17179384117526886,0.0029013263564878766,-0.010473800619186457
torch_transformer,xgboost,3,attention,-0.12716283238056025,-0.1343945127294428,-0.18468650443416634,-0.15271464152857428,-0.16105704524276504,-0.09326861951835541,-0.13113581570392885,-0.1157183677179966
torch_transformer,xgboost,3,engagement,-0.05583307981424934,-0.08396668728228762,-0.055874640619105964,-0.061003551628002306,-0.09443720581092185,-0.017228953817577164,-0.07119172727328404,-0.0774663457229906
torch_transformer,xgboost,3,excitement,-0.024102104448929018,-0.028173663268578064,-0.016773544783103445,-0.007854173258578734,-0.07023193908133629,0.022027730183478367,-0.02578350821265929,-0.021600615370701792
torch_transformer,xgboost,3,stress,-0.04784176242485427,-0.042607685680962404,-0.05081403088202363,-0.03960548794776164,-0.03856524504420955,-0.05711827980549877,-0.03677897315019174,-0.02731817759681221
torch_transformer,xgboost,3,relaxation,-8.791228818760821e-05,0.0006769639765634716,-0.01766303095899635,-0.020559183978277606,0.039385752664192086,-0.03956157724056708,-0.01866195028395612,-0.015188619918451218
torch_transformer,xgboost,3,interest,-0.0708657818068239,-0.08512869080867169,-0.10423005634721083,-0.0643530016873246,0.007345996436077473,-0.14907756004972517,-0.0769425885085917,-0.10063722548168264
torch_transformer,xgboost,3,focus,0.031538259290627924,0.02261734201111998,0.06686617521622173,0.07109961574031187,0.12920708569462525,-0.06613056711336929,0.05303115842955697,0.020125965024221593
torch_transformer,xgboost,4,attention,-0.04590486409384742,-0.07527091375456474,-0.05509603655141837,-0.059784565267434586,-0.08706670163958519,-0.00474302654810943,-0.04669197260796509,-0.059303467815099875
torch_transformer,xgboost,4,engagement,-0.02765320952753947,-0.030274258367370854,-0.03575663224204462,-0.04019577558671017,-0.007333940135775485,-0.04797247891930345,-0.05630579819618953,-0.026606367718540858
torch_transformer,xgboost,4,excitement,0.01973676202455732,0.01565044293264717,0.009338100515370429,0.01186113245810283,0.05740091843400441,-0.01792739438488944,-0.00033310651252904666,0.002642643012078838
torch_transformer,xgboost,4,stress,-0.0666131270351138,-0.09430822520659243,-0.05419278597434418,-0.06413701942830363,0.047437869496276375,-0.1806641235665043,-0.046623528676167925,-0.10466425248637201
torch_transformer,xgboost,4,relaxation,-0.025233404489812816,-0.032699533985312335,-0.038267611466551776,-0.051004622396553234,-0.04750989649599413,-0.002956912483631835,-0.03703077439009106,-0.03144504051860286
torch_transformer,xgboost,4,interest,-0.08258278167719724,-0.11661450406658191,-0.06690225202172728,-0.04701260432072196,-0.10235317439864478,-0.06281238895574981,-0.08534838125800148,-0.12415318148587096
torch_transformer,xgboost,4,focus,0.05566419918177701,0.05698209510107788,0.09332545335815112,0.10195877670871223,0.0578414551766695,0.053486943186884184,0.08742660253195389,0.04991040083645382
torch_transformer,xgboost,5,attention,-0.10522142331071338,-0.1204465398118868,-0.12778713729635482,-0.10147610050090172,-0.026445866377489802,-0.18640114991461743,-0.0963098910114687,-0.11108282010459458
torch_transformer,xgboost,5,engagement,-0.017395804220659894,-0.03633000835770284,-0.03130957929793521,-0.02830233308216723,0.023706105676107203,-0.05849771411742688,-0.04348768144109061,-0.046493813688644914
torch_transformer,xgboost,5,excitement,-0.001954192298736168,-0.005721969187594933,-0.0093079024201147,-0.011823491101709105,-0.008373517995482693,0.004465133398010246,-0.004442197650393442,0.0007070731744518444
