outer_fold,candidate_id,model_family,candidate_hash,expected_inner_fits,evaluation_hash
3,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,d95662df958dbcc11ba99ac9d3ce700d496825ea705e90d626f545948daaa557
3,xgboost__sample_012,xgboost,ff56140cd08f85e52f017ade3f415f87f2fd9556e010060be234fc7c78cf12f9,21,efb35e5510c6c0d5fe4323c0a98acd39cd7ec3d73ca764d5b24dd5ce3bc14663
4,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,6973ad4fbab101761b791055fcd48d5a49e056a824dcee0fe354801f0d0f56d7
4,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,fd5f87441603b07ec014044fff27bdd19d555fd8c1fe0494326825bbe00c5c17
4,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,7dee8f6b851e0ee3cb838646b60753be398608d01cf45b9ee4b81422347b3633
4,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,ad33ee95f5a902db1b4355a6c4e883cdec7b7991745913c23056422588ea0ac8
4,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,29c126a97d971e85e5ac05d0f7345e0e3e468a12ffa3de56160841268c8aa5a5
4,lightgbm__sample_005,lightgbm,0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,21,5b35b3c8081d11ddded0d1275567c7d1778411788fe8629a5aaceba79a652c2c
4,lightgbm__sample_006,lightgbm,cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,21,2deeb97bd175aced7ed00f13560699192cb45a023dcaf4249391fdd2d4e109a7
4,lightgbm__sample_007,lightgbm,2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,21,a1dd24357b77c9d43cb4316d8d6d9a55950f9a36e1cb377576638509b13ccc80
4,lightgbm__sample_008,lightgbm,770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,21,6f3aa9e6472077c4aa95223d69abfebacb5323e0d51a03f274bc44e1be386248
4,lightgbm__sample_009,lightgbm,6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,21,17127746ceb24c7e9cd3d57a6291357f1cc1a256c49acf038cd01b09dabea45d
4,lightgbm__sample_010,lightgbm,cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,21,86b4922064629b1f8c0f3473d00e4e0e63ffe0cabec8b4ed64fe848bfb46d94a
4,lightgbm__sample_011,lightgbm,5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,21,752aba1c7b2e4871d91566cc7a25a0bb784a56d5b17f5f4ef6219c59db92f7b0
4,lightgbm__sample_012,lightgbm,4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,21,2af939a3505258a985372693603979ecd8cc15823faf0c6b1f7ebda39de72d8c
4,xgboost__anchor,xgboost,e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,21,1ae655f5c866fabb490f55ba8f38646299c9c82f6d9ef83604331ea42ac54209
4,xgboost__sample_001,xgboost,683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,21,d0fa7418e86aa0d5778b9e3aeeaf32ffb6208ab7fed9c8e1733978461bf7fdb8
4,xgboost__sample_002,xgboost,e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,21,1c421f74168dd265d1d765de27b3ac1edbc75641b90198799be4fd53dc5394bc
4,xgboost__sample_003,xgboost,f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,21,fe961d657cdd1c54787d46e0dbe5ffcd847743976b09fb5c20d7f920a8988238
4,xgboost__sample_004,xgboost,5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,21,a07418b90ad9ba5aa2956c707a94a18fd5f6b14e8e0ab34daefd282ecac0e89b
4,xgboost__sample_005,xgboost,bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,21,8b8af064a907927aca13a2a1a813b1eee7c23c5d059d815dc2324a1f3f51e08c
4,xgboost__sample_006,xgboost,ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,21,08dac1eb748b8c8500737a522abe3d7ef1e6dd046e8f3cd4d4037f130ecb9099
4,xgboost__sample_007,xgboost,a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,21,7c9c7713d349454d14a0f332685e4b394019589d68f737245469b986d5ab65cd
4,xgboost__sample_008,xgboost,81cb7afb7f7c9cf05ac75a5c53233f06bfb50e41a65f88646d69947b081541ca,21,3b90d2fce5e836084102221acd546233fa12ec838198c6b1efc0199fe49576df
4,xgboost__sample_009,xgboost,e20b7814657f8f22c84f20c7bc9b22c993e29db73dd9c753b12fd40df695cdee,21,fa109b831b91187da43019b9cbfe71d3c76d89803ce7a8d78cc06a4bf8f00b94
4,xgboost__sample_010,xgboost,e4e2c0a1eed684aec6bc95654d6d20fbd07c88eb24f916b3a816094cfec7c91a,21,8c75dbc2daff7c770e72d5782fb460214906f77112a4fee028c244c8d70f9800
4,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,0ad5966e88652b56164947350ab6ff7a8b9cf9d0db2f98bf3f6742182abff462
4,xgboost__sample_012,xgboost,ff56140cd08f85e52f017ade3f415f87f2fd9556e010060be234fc7c78cf12f9,21,3965705e83c0612918c1e218322572a005232c23ab60077288a05a559216fbfe
5,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,d19fe63d72bbbc9569d8a784e2c8695297778d4dccc3757a792b465649fbb4b5
5,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,aa4eac781ea6d641146064ad758aaf0b77190f2ef7d0f43d4374603ee8dcfda0
5,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,8ffa56f768eedc9142d6b992f5f9aebe3fd1630827f6301e4c2eb4bb17f874f9
5,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,1f443b746e201c3acb4366c4c2b7e86055f54a45fcd7066f4389bb137640fe38
5,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,3a2432c0a65b14f365c5b9b3903458d8c9e26d44a07735b7c6bc365fb338f567
5,lightgbm__sample_005,lightgbm,0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,21,e7612676e7ec2e8d2d83c4458c9c447fb5fe61dadf678761873f8481b626e0fe
5,lightgbm__sample_006,lightgbm,cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,21,51cefc47fe3cb9ee2cabf9cf48ab9217ec34a3211ed4e20d4a536f2af596f6e6
5,lightgbm__sample_007,lightgbm,2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,21,dffc51a2c4881e333b76346d8ff883ee80744954f7342d488835809e3ab351ef
5,lightgbm__sample_008,lightgbm,770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,21,d836d3385d4d98f974dcd611e57e925ba9e53ad2320a1dc5515074c52fafe180
5,lightgbm__sample_009,lightgbm,6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,21,c5e109fc806446158c82372f6997d03eaaf26b3c2a9ed090bae6425f29856b96
5,lightgbm__sample_010,lightgbm,cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,21,c33d15f90bbbeecae6f6ff8b345773f2fe852c37418434da60596976828a299d
5,lightgbm__sample_011,lightgbm,5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,21,77a576a156286d6faa4ccdb308a2ec2dd37d0df42f675f5728284e30ea65ab6e
5,lightgbm__sample_012,lightgbm,4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,21,6f42d6628750241c1c3ab4f003c8f38cd013ef4ec544510bbd279829e3bc189d
5,xgboost__anchor,xgboost,e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,21,0642343d9bea36e45caa9f1f6728257c8c1d6667709435cb394d73fb100f4166
5,xgboost__sample_001,xgboost,683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,21,0a3c156fc90feda5cb264a2f43c8c7f2f56474cea05c7e6695550f484e21fe84
5,xgboost__sample_002,xgboost,e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,21,985838937d32e589052a28225befb9ba25a20c1a5b9d22b5a96534fd6adf617b
5,xgboost__sample_003,xgboost,f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,21,3298251a3759741c5e01ad855a12f8be0dd2b8955a348327ed3a4be013d4e238
5,xgboost__sample_004,xgboost,5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,21,3e4d82a95f832ca8b2237a8e9cfca38b5241dd9d36035711de3c50ece735853c
5,xgboost__sample_005,xgboost,bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,21,695864a044a0c7eecdc034d3c168dff648b65b4045dae6bbaa91665960a4995d
5,xgboost__sample_006,xgboost,ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,21,1f98bb3c4071aa7e33bc5bd1b4ca6209b3169625117f0c7066159b82844016f7
5,xgboost__sample_007,xgboost,a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,21,7f7dc08e44d03d6bda812041efd457f196344c73a58b745717a47c99b11ddb2e
5,xgboost__sample_008,xgboost,81cb7afb7f7c9cf05ac75a5c53233f06bfb50e41a65f88646d69947b081541ca,21,0bcb8d763d4743f4c731c32cad6660375c3da0bedaaf17f12eb9200a33a649e9
5,xgboost__sample_009,xgboost,e20b7814657f8f22c84f20c7bc9b22c993e29db73dd9c753b12fd40df695cdee,21,b2379b0c38b943104f9eeab38c4cc164c4e7e9888eab5c14b3a9dc472b3af39f
5,xgboost__sample_010,xgboost,e4e2c0a1eed684aec6bc95654d6d20fbd07c88eb24f916b3a816094cfec7c91a,21,239e22316940556bbd9172622e1b46574d8f9f23528e3e21363d9d7cc87912e6
5,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,95b3a6662f13c8fedc92ff994dcb865bcbbabe8a0978a19ceec7b07376bf3b14
